src_ip,dst_ip,src_port,dst_port,protocol,duration_sec,fwd_packets,bwd_packets,total_packets,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,flow_bytes_per_sec,flow_packets_per_sec,syn_flag,ack_flag,rst_flag,fin_flag,psh_flag,label,is_attack
192.168.1.226,10.0.0.2,17420,53,TCP,2.4741,26,58,84,514.65,455.7,573.61,29.48,17473.5,33.95,0,1,0,1,1,Normal,0
192.168.1.54,10.0.0.21,35230,69,TCP,0.0233,2,0,2,46.23,40.0,60.0,0.66,3969.08,85.86,1,0,1,0,0,PortScan,1
192.168.1.253,10.0.0.17,47601,80,TCP,2.5101,816,4,820,123.44,54.0,200.0,6.58,40324.37,326.68,1,0,0,0,0,DoS,1
192.168.1.173,10.0.0.10,24022,443,TCP,0.2015,3247,1,3248,65.81,40.0,128.0,7.27,1060668.0,16117.68,1,0,0,0,0,DDoS,1
192.168.1.70,10.0.0.23,53577,443,TCP,0.439,8,5,13,392.67,241.51,543.83,75.58,11628.48,29.61,0,1,0,1,0,Normal,0
192.168.1.178,10.0.0.34,26000,80,UDP,1.2215,59,15,74,541.95,364.34,719.56,88.8,32830.85,60.58,0,1,0,0,1,Normal,0
192.168.1.191,10.0.0.47,16871,443,TCP,2.3162,33,62,95,559.79,283.62,835.96,138.09,22959.76,41.01,0,1,0,0,1,Normal,0
192.168.1.89,10.0.0.22,16906,443,TCP,95.6271,21,20,41,206.47,50.0,400.0,15.34,88.52,0.43,1,1,0,0,1,Botnet,1
192.168.1.17,10.0.0.41,3874,80,TCP,0.2332,2775,0,2775,63.89,40.0,128.0,3.48,760408.17,11901.23,1,0,0,0,0,DDoS,1
192.168.1.138,10.0.0.29,5556,80,TCP,1.1069,358,3,361,79.3,54.0,200.0,20.52,25862.28,326.14,1,0,0,0,0,DoS,1
192.168.1.226,10.0.0.2,36652,443,UDP,2.2892,27,15,42,395.86,142.42,649.3,126.72,7262.74,18.35,0,1,0,0,0,Normal,0
192.168.1.143,10.0.0.41,45475,5555,TCP,15.7789,158,230,388,784.11,64.0,1460.0,196.47,19281.04,24.59,1,1,0,1,1,Infiltration,1
192.168.1.26,10.0.0.33,57971,21,TCP,0.8181,56,40,96,197.61,60.0,600.0,11.14,23189.76,117.35,1,1,1,1,1,Brute Force,1
192.168.1.159,10.0.0.29,43966,53,TCP,4.1522,95,88,183,461.14,391.2,531.08,34.97,20323.93,44.07,0,1,0,0,1,Normal,0
192.168.1.108,10.0.0.27,54355,22,TCP,1.4212,51,39,90,651.96,490.71,813.22,80.63,41286.92,63.33,0,1,0,1,1,Normal,0
192.168.1.184,10.0.0.15,10120,53,TCP,0.5806,77,68,145,575.72,522.63,628.8,26.54,143785.97,249.75,0,1,0,0,1,Normal,0
192.168.1.172,10.0.0.16,18517,8080,TCP,0.5204,97,51,148,577.88,521.84,633.91,28.02,164341.84,284.39,0,1,0,0,1,Normal,0
192.168.1.147,10.0.0.34,52976,80,TCP,4.6264,99,7,106,550.96,373.94,727.98,88.51,12623.55,22.91,0,1,0,0,0,Normal,0
192.168.1.152,10.0.0.30,61062,22,TCP,1.3338,31,82,113,485.35,421.29,549.4,32.03,41120.04,84.72,0,1,0,1,0,Normal,0
192.168.1.215,10.0.0.25,1579,22,TCP,0.6871,29,105,134,467.04,244.19,689.89,111.43,91082.2,195.02,0,1,0,0,0,Normal,0
192.168.1.94,10.0.0.43,37585,443,TCP,0.1129,2827,7,2834,53.36,40.0,128.0,4.61,1339142.58,25097.41,1,0,0,0,0,DDoS,1
192.168.1.6,10.0.0.34,5405,443,UDP,0.5104,99,8,107,510.82,286.94,734.7,111.94,107077.45,209.62,0,1,0,0,1,Normal,0
192.168.1.243,10.0.0.39,52177,22,ICMP,1.3367,8,103,111,525.52,440.15,610.89,42.68,43638.65,83.04,0,1,0,0,1,Normal,0
192.168.1.68,10.0.0.24,35516,443,UDP,2.0638,59,10,69,614.79,377.99,851.59,118.4,20554.12,33.43,0,1,0,1,1,Normal,0
192.168.1.109,10.0.0.26,52342,53,TCP,0.1456,64,69,133,769.4,556.9,981.91,106.25,702742.23,913.36,1,1,0,0,1,Normal,0
192.168.1.4,10.0.0.38,58472,21,TCP,2.6063,21,26,47,394.73,60.0,600.0,39.44,7118.2,18.03,1,1,0,0,1,Brute Force,1
192.168.1.222,10.0.0.31,45422,443,TCP,1.6071,75,99,174,679.82,418.96,940.69,130.43,73602.2,108.27,0,1,0,0,0,Normal,0
192.168.1.245,10.0.0.34,2847,8080,TCP,0.3703,9,58,67,703.62,641.48,765.76,31.07,127293.88,180.91,0,1,0,1,1,Normal,0
192.168.1.55,10.0.0.21,8514,443,TCP,0.233,3489,7,3496,63.16,40.0,128.0,7.33,947727.53,15005.56,1,0,0,0,0,DDoS,1
192.168.1.164,10.0.0.47,53045,8080,TCP,1.2798,41,35,76,509.31,332.57,686.06,88.37,30245.83,59.39,1,1,0,0,1,Normal,0
192.168.1.209,10.0.0.30,11707,80,TCP,0.2671,904,9,913,61.79,40.0,128.0,6.56,211182.04,3417.76,1,0,0,0,0,DDoS,1
192.168.1.66,10.0.0.21,32045,443,TCP,2.8616,68,12,80,520.32,358.99,681.66,80.67,14546.35,27.96,0,0,0,1,1,Normal,0
192.168.1.40,10.0.0.27,18231,80,TCP,0.6266,5,31,36,424.54,209.82,639.27,107.36,24391.09,57.45,0,1,0,1,1,Normal,0
192.168.1.222,10.0.0.12,16823,737,TCP,0.0141,2,0,2,45.22,40.0,60.0,0.88,6393.7,141.4,1,0,0,0,0,PortScan,1
192.168.1.252,10.0.0.40,42857,5555,TCP,58.2631,281,240,521,800.01,64.0,1460.0,151.04,7153.81,8.94,1,1,0,1,1,Infiltration,1
192.168.1.37,10.0.0.26,52887,22,TCP,1.854,50,43,93,346.87,60.0,600.0,17.71,17399.66,50.16,1,1,1,1,1,Brute Force,1
192.168.1.233,10.0.0.16,47785,22,TCP,2.4892,24,73,97,705.36,528.66,882.06,88.35,27486.39,38.97,0,1,0,1,0,Normal,0
192.168.1.55,10.0.0.6,4394,80,TCP,2.6933,48,104,152,627.91,397.37,858.46,115.27,35437.21,56.44,0,1,0,0,1,Normal,0
192.168.1.87,10.0.0.9,65488,80,TCP,7.4963,1412,0,1412,57.77,54.0,200.0,13.81,10880.62,188.36,1,0,0,0,0,DoS,1
192.168.1.107,10.0.0.30,56847,80,TCP,2.7995,9,39,48,509.36,361.79,656.93,73.79,8733.39,17.15,0,1,0,0,0,Normal,0
192.168.1.248,10.0.0.18,11174,443,TCP,5.5272,97,90,187,611.0,500.95,721.05,55.02,20671.9,33.83,1,1,0,0,1,Normal,0
192.168.1.250,10.0.0.6,14727,80,UDP,0.8809,91,117,208,590.33,362.75,817.91,113.79,139387.14,236.12,1,1,0,0,1,Normal,0
192.168.1.252,10.0.0.21,48776,443,TCP,0.4371,81,55,136,626.76,334.86,918.65,145.95,195018.14,311.16,0,0,0,0,1,Normal,0
192.168.1.200,10.0.0.24,29229,443,TCP,16.8728,7,10,17,269.74,50.0,400.0,15.28,271.77,1.01,1,1,0,0,1,Botnet,1
192.168.1.129,10.0.0.45,10042,443,UDP,1.7675,19,46,65,419.98,137.13,702.82,141.42,15444.8,36.78,0,1,0,1,1,Normal,0
192.168.1.124,10.0.0.42,28961,443,UDP,0.1556,4315,7,4322,64.68,40.0,128.0,5.75,1796567.28,27775.93,1,0,0,0,0,DDoS,1
192.168.1.20,10.0.0.4,7666,53,TCP,8.9032,17,73,90,505.09,247.54,762.64,128.77,5105.85,10.11,0,1,0,0,1,Normal,0
192.168.1.56,10.0.0.2,28436,8080,TCP,5.6482,56,26,82,301.58,223.82,379.34,38.88,4378.3,14.52,0,1,0,0,1,Normal,0
192.168.1.25,10.0.0.12,58402,22,TCP,3.7903,58,14,72,564.32,510.71,617.93,26.8,10719.88,19.0,0,1,0,1,1,Normal,0
192.168.1.129,10.0.0.14,26982,80,TCP,0.5231,69,76,145,613.26,450.62,775.9,81.32,169993.1,277.2,1,1,0,1,1,Normal,0
192.168.1.125,10.0.0.20,6086,5555,TCP,24.7706,278,233,511,637.0,64.0,1460.0,98.92,13140.9,20.63,1,1,0,1,1,Infiltration,1
192.168.1.27,10.0.0.8,46072,3389,TCP,2.6699,62,43,105,335.4,60.0,600.0,11.84,13190.13,39.33,1,1,1,1,1,Brute Force,1
192.168.1.71,10.0.0.38,59964,604,TCP,0.0264,1,0,1,48.25,40.0,60.0,1.2,1825.41,37.83,1,0,1,0,0,PortScan,1
192.168.1.140,10.0.0.34,56768,6667,TCP,63.2085,5,24,29,236.39,50.0,400.0,8.88,108.46,0.46,1,1,0,0,0,Botnet,1
192.168.1.32,10.0.0.28,62317,80,TCP,0.0766,1097,8,1105,80.74,40.0,128.0,2.71,1164723.92,14426.15,1,0,0,0,0,DDoS,1
192.168.1.150,10.0.0.14,47221,485,TCP,0.0177,2,0,2,40.33,40.0,60.0,2.75,4553.31,112.89,1,0,1,0,0,PortScan,1
192.168.1.57,10.0.0.37,34861,22,TCP,1.2799,9,89,98,766.64,489.37,1043.92,138.64,58699.26,76.57,1,1,0,0,0,Normal,0
